"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"691",6.9,0.2,0.34,1.9,0.043,25,136,0.9935,3.31,0.6,10.1,4
"4214",6.5,0.38,0.53,1.4,0.142,5,69,0.9926,3.14,0.52,10.1,4
"949",6.8,0.705,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4
"1857",10,0.91,0.42,1.6,0.056,34,181,0.9968,3.11,0.46,10,4
"1030",6.3,0.6,0.44,11,0.05,50,245,0.9972,3.19,0.57,9.3,4
"2387",6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4
"116",5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4
"4224",5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
"99",9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4
"2080",7.4,0.45,0.32,7.1,0.044,17,117,0.9962,3.32,0.41,10.4,4
"2276",7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4
"2657",7.1,0.23,0.24,5.4,0.039,60,196,0.9948,3.19,0.78,10,4
"2494",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4
"2389",7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4
"295",9.1,0.59,0.38,1.6,0.066,34,182,0.9968,3.23,0.38,8.5,4
"647",6.5,0.33,0.72,1.1,0.061,7,151,0.993,3.09,0.57,9.5,4
"3051",6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
"2374",7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,4
"177",7.2,0.32,0.47,5.1,0.044,19,65,0.991,3.03,0.41,12.6,4
"4213",6.6,0.31,0.37,6.2,0.052,13,164,0.99602,3.24,0.39,8.8,4
"3560",7.5,0.34,0.24,3.85,0.031,5,34,0.99098,3.01,0.36,11.8,4
"3771",7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,4
"4681",6.8,0.63,0.04,1.3,0.058,25,133,0.99271,3.17,0.39,10.2,4
"2590",7.2,0.615,0.1,1.4,0.068,25,154,0.99499,3.2,0.48,9.7,4
"915",8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4
"2819",6,0.11,0.47,10.6,0.052,69,148,0.9958,2.91,0.34,9.3,4
"642",6.1,0.28,0.25,12.9,0.054,34,189,0.9979,3.25,0.43,9,4
"1156",7.6,0.33,0.36,2.1,0.034,26,172,0.9944,3.42,0.48,10.5,4
"3187",8.7,0.3,0.59,1.7,0.046,10,70,0.99373,3.06,0.56,10.8,4
"4021",6.4,0.37,0.12,5.9,0.056,6,91,0.99536,3.06,0.46,8.4,4
"2503",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4
"3180",8.5,0.2,0.4,1.1,0.046,31,106,0.99194,3,0.35,10.5,4
"3966",7.3,0.38,0.23,6.5,0.05,18,102,0.99304,3.1,0.55,11.2,4
"47",6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
"2415",6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
"2413",6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4
